stopid,name_t,name_e,lat,lon
501,ตรงข้ามชุมชนแผนดินทอง,Phaen Din Thong Community (Opposite),13.852565094,100.81550073
502,ตรงข้ามวัดมะเดื่อ บางใหญ่วัสดุภัณฑ์,Wat Maduea (Opposite)  Bang Yai Watsaduphan,13.875227551,100.42290088
503,ศาลเจ้าหลวงปู่ขุน,Luang Pu Khun Shrine,13.8769301796649,100.44551439958
504,วัดบางแพรก,Wat Bang Phraek,13.8750450883838,100.42733299
505,ธนพลหมูกระทะ,Thanapol Bar B Q,13.9050887430039,100.40692747
506,ตลาดโบ้เบ้(ซอยไพศาลศิลป์),Boe Bae Market (Soi Paisan Sin),13.7513242555133,100.516919279122
507,ตลาดโบ้เบ้(อาคารโบ๊เบ๊ทาวเวอร์),Boe Bae Market (Bobae Tower Building),13.7544492951753,100.517122031088
508,แยกภุชงค์,Phuchong Intersection,13.7518434966515,100.517119734561
509,ตลาดโบ้เบ้,Boe Bae Market,13.750410277,100.51696481
510,แยกสะพานเหลือง [ขาออก],Lueang Bridge Intersection,13.73668468,100.52185003
511,แยกประดิพัทธ์(ตรงข้ามซอย43),Pradipat Intersection (Opposite Soi 43),13.7943644667206,100.538974256737
512,บางพลี,Bang Phli,13.635087538,100.70940192
513,หมู่บ้านคลอง 5,Khlong 5 Village,14.0125565742457,100.715972240604
514,หมู่บ้านคลอง 5,Khlong 5 Village,14.0124504033888,100.716485435759
515,รังสิต-นครนายก 61(ขาเข้า),Rangsit-Nakhon Nayok 61,13.9930309509282,100.65454079299
516,ศูนย์สุขภาพชุมชน,Health center,13.71498472,100.33019918
517,ธูปเตมีย์,Thupatemi,13.9498772309063,100.623700502176
518,ซอยจามร 5,Soi Chamorn 5,13.9507959681713,100.633974928035
519,ปากทางคลองสอง,Pak Thang Klong 2,13.949747297,100.64314316
520,แยกหมู่บ้านฟ้าครามคลอง 2,Fah Khram Klong 2 Village Intersection,13.947656627,100.64300968
521,เทศบาลคูคต,Municipal Khukhot,13.9419377161089,100.642384740148
522,ตรงข้ามวัดโพสพ,Wat Phosop (Opposite),13.9392368854598,100.642129624333
523,ตรงข้ามสถานีตำรวจคูคต,Police Station KhuKhot (Opposite),13.934462299,100.64170056
524,ซอยสุนีย์,Soi Sunee,13.9323295298553,100.652984375439
525,โรงเรียนผ่องสุวรรณ,Phong Suwan School,13.9322289523688,100.657269715649
526,ซอยเปียร์นนท์,Soi Pianon,13.9321313362223,100.66074851
527,วิเชียรคลอง 3,Wichian Khlong 3,13.9321096170203,100.664014787404
528,หมู่บ้านลัลลี่วิลล์,Lally Ville Village,13.9324169555258,100.6725156235
529,หมู่บ้านเอราวัณ,Arawan Village,13.9325234983115,100.675231671062
530,การเคหะคลอง 4,Housing Khlong 4,13.932886845,100.68505765
531,ตรงข้ามวัดคลองชัน,Wat Khlong Chan (Opposite),13.9330663098689,100.688739896737
